Date,Portfolio_Return,Regime,Market_Return,Cumulative_Portfolio,Cumulative_Market,Portfolio_Return_Net,Cumulative_Portfolio_Net
2020-04-30,0.03447463886424975,Volatile,0.1358,6.572756796999797,3.050778955259889,0.03347463886424975,5.856711820317291
2020-05-31,0.029391141677597384,Volatile,0.0559,6.7659376232328095,3.2213174988589173,0.028391141677597383,6.022990555372779
2020-06-30,0.08113388272923841,Volatile,0.0243999999999999,7.314884412909523,3.2999176458310746,0.08013388272923841,6.505636174216332
2020-07-31,0.07791050483650426,Volatile,0.0583,7.88479075033998,3.492302844583026,0.07691050483650426,7.005987936657934
2020-08-31,-0.016822292665359166,Volatile,0.0762,7.752150492732644,3.758416321340253,-0.017822292665359167,6.88112516924084
2020-09-30,0.007146088307270015,Volatile,-0.0364,7.807548044724959,3.621609967243468,0.006146088307270015,6.923417172184372
2020-10-31,0.09962951611314341,Volatile,-0.0208,8.585410278451025,3.5462804799248038,0.09862951611314341,7.606270457726344
2020-11-30,0.06162943410167001,Volatile,0.1244,9.114524255442625,3.9874377716274494,0.06062943410167001,8.067434331202543
2020-12-31,0.001865477778260144,Volatile,0.0463,9.131527197900565,4.1720561404538,0.000865477778260144,8.074416516343772
2021-01-31,0.08794306445069389,Volatile,-0.0007,9.934581682798798,4.169135701155482,0.08694306445069389,8.776431031925997
2021-02-28,0.04098635957180142,Volatile,0.0281,10.341764019845423,4.286288414357951,0.03998635957180142,9.127368558925706
2021-03-31,0.008951102061445676,Volatile,0.0316,10.434334205082445,4.421735128251663,0.007951102061445676,9.199941197890157
2021-04-30,0.022680933527719282,Volatile,0.0496999999999999,10.670994645593929,4.6414953641257695,0.02168093352771928,9.399404511460538
2021-05-31,0.01339991164497445,Volatile,0.0029,10.813985031008881,4.654955700681734,0.012399911644974448,9.515956296918024
2021-06-30,-0.010006605229173243,Volatile,0.0273,10.705773751849387,4.782035991310346,-0.011006605229173242,9.41121792257978
2021-07-31,0.04354927927392224,Volatile,0.0134,11.172002482812102,4.846115273593905,0.04254927927392224,9.81165846227537
2021-08-31,-0.0495828194898778,Volatile,0.0295,10.618063100366363,4.989075674164925,-0.0505828194898778,9.315357113381763
2021-09-30,0.07818047175350643,Volatile,-0.044,11.448188282661505,4.769556344501669,0.07718047175350642,10.03432076994495
2021-10-31,-0.04640385262024769,Volatile,0.0663,10.916948240824034,5.08577793014213,-0.04740385262024769,9.558655307022189
2021-11-30,0.01329505913009874,Volatile,-0.0158,11.062089713206015,5.005422638845884,0.012295059130098741,9.67617953922626
2021-12-31,-0.11690010686533996,Volatile,0.0324,9.768930243578255,5.1675983323444905,-0.11790010686533996,8.535356937503268
2022-01-31,-0.012392662303876317,Bear,-0.0615,9.647867189999465,4.849791034905304,-0.013392662303876316,8.421045784396238
2022-02-28,0.016788531879967677,Bear,-0.0227999999999999,9.809840715892465,4.739215799309464,0.015788531879967677,8.554001734225846
2022-03-31,-0.05821035833861501,Bear,0.0308,9.23880637257563,4.885183645928195,-0.05921035833861501,8.0475162263132
2022-04-30,0.02514051208192845,Bear,-0.0941,9.471074695807964,4.425487864846352,0.02414051208192845,8.241787389004028
2022-05-31,-0.06860577534351844,Bear,-0.0033,8.82130427296568,4.410883754892359,-0.06960577534351844,7.66811138757597
2022-06-30,0.060401223279123985,Bear,-0.084,9.354121841970171,4.040369519481401,0.059401223279123984,8.123606584238562
2022-07-31,-0.04070382240596303,Bear,0.0957,8.973373327750878,4.427032882495771,-0.04170382240596303,7.784821137953565
2022-08-31,-0.04411509576114951,Bear,-0.0377,8.577512104096604,4.260133742825681,-0.04511509576114951,7.4336081868313695
2022-09-30,0.131757902628269,Bear,-0.0934,9.707667108700962,3.862237251245762,0.130757902628269,8.405611202301769
2022-10-31,0.02089496201234723,Bear,0.0786,9.910508444165782,4.1658090991936785,0.01989496201234723,8.572840517862122
2022-11-30,-0.031716512883254645,Bear,0.0469,9.596181675416794,4.361185545945862,-0.032716512883254646,8.292367070613398
2022-12-31,-0.003783282953736178,Bear,-0.0638,9.559876604863234,4.082941908114516,-0.004783282953736178,8.25270233255841
2023-01-31,-0.02824934084070544,Bear,0.0659,9.289816392257368,4.352007779859263,-0.02924934084070544,8.011316229176526
2023-02-28,0.028326952328806665,Bear,-0.0256999999999999,9.55296857834421,4.24016117991688,0.027326952328806664,8.230241085862227
2023-03-31,0.042229794829852715,Bear,0.0249,9.956388481423716,4.34574119329681,0.041229794829852714,8.569572237232551
2023-04-30,-0.0530975639098936,Bear,0.0063,9.427728507719591,4.37311936281458,-0.0540975639098936,8.105979255448412
2023-05-31,0.05613080212805216,Bear,0.0033,9.956914471103396,4.387550656711869,0.05513080212805216,8.552868393834634
2023-06-30,0.03646834127997229,Bear,0.0646,10.320026626131089,4.670986429135455,0.03546834127997229,8.85622444894985
2023-07-31,-0.004046457916010671,Bear,0.0321,10.27826707269634,4.820925093510703,-0.005046457916010671,8.81153188497348
2023-08-31,-0.056601641064090026,Bear,-0.0236,9.696500289086725,4.707151261303851,-0.05760164106409003,8.303973188110453
2023-09-30,-0.016705551524714986,Bear,-0.0523,9.534514903897973,4.460967250337659,-0.017705551524714987,8.156946762968511
2023-10-31,0.08231494234383172,Bear,-0.0315,10.319347948488739,4.320446781952023,0.08131494234383171,8.820228418701001
2023-11-30,0.02905618388796603,Bear,0.0888,10.61918882008393,4.7041024561893625,0.02805618388796603,9.06769036914994
2023-12-31,0.013721216545663606,Bear,0.0486,10.764897009423592,4.932721835560166,0.012721216545663605,9.183042421904924
2024-01-31,0.026674589371684494,Bear,0.0073,11.05204621677844,4.968730704959755,0.025674589371684493,9.418813265270092
2024-02-29,0.06274747116449908,Bear,0.0507,11.745534168074455,5.220645351701215,0.06174747116449908,10.000401165771157
2024-03-31,-0.014100351448247044,Bear,0.0283999999999999,11.579918008357211,5.368911679689529,-0.015100351448247045,9.849391593544553
2024-04-30,0.03010707705424398,Bear,-0.0465,11.928555492116649,5.1192572865839665,0.02910707705424398,10.136078593595277
2024-05-31,-0.012720564712307435,Bear,0.0432,11.77681753005483,5.340409201364394,-0.013720564712307436,9.99700587132282
2024-06-30,0.047402052236331545,Bear,0.0279999999999999,12.335062849792235,5.489940659002595,0.046402052236331544,10.460887459970854
2024-07-31,0.031119525790421803,Bear,0.0121999999999999,12.718924156272818,5.556917935042427,0.030119525790421802,10.775964429612147
2024-08-31,-0.0015972609031039754,Bear,0.0161,12.69860871598846,5.64638431379661,-0.0025972609031039754,10.747976438505876
2024-09-30,-0.028687559720603373,Bear,0.0173,12.334316620079967,5.744066762425292,-0.029687559720603374,10.428895246112095
2024-10-31,0.059800816467968275,Bear,-0.01,13.07191882453518,5.6866260948010385,0.058800816467968274,11.0421228014424
2024-11-30,-0.060379272420533536,Bear,0.0649,12.28264587676947,6.0556881283536255,-0.06137927242053354,10.364365337911682
2024-12-31,0.02893962783701128,Bear,-0.0315,12.63810107729698,5.864933952310486,0.027939627837011278,10.653941848219754
2025-01-31,0.0049647434687394906,Bear,0.027999999999999997,12.70084600707776,6.02915210297518,0.0039647434687394905,10.696181994578813
2025-02-28,-0.021640328692452915,Bear,-0.024300000000000002,12.425995524812368,5.882643706872884,-0.022640328692452916,10.454016918467252
2025-03-31,-0.035191597396123174,Bear,-0.0639,11.988704893057143,5.5067427740037065,-0.036191597396123175,10.075669346981824
2025-04-30,0.028882789854987562,Bear,-0.0084,12.334972137116774,5.460486134702076,0.02788278985498756,10.35660711803206
2025-05-31,0.00562980708925902,Bear,0.060599999999999994,12.404415650700127,5.791391594465021,0.00462980708925902,10.404556211087794
2025-06-30,-0.016567232933818954,Bear,0.048600000000000004,12.198908807207069,6.072853225956021,-0.017567232933818955,10.2217769485546
2025-07-31,0.012701435197772615,Bear,0.019799999999999998,12.353852456905345,6.193095719829951,0.011701435197772614,10.3413864091242
2025-08-31,0.06453795008216026,Bull,0.018500000000000003,13.151144770091477,6.307667990646805,0.06353795008216026,10.998456902567463
2025-09-30,0.006261990189349975,Bull,0.0339,13.23349710962051,6.521497935529732,0.005261990189349975,11.056330674886762
2025-10-31,0.025133192657146374,Bull,0.0196,13.566097142004391,6.649319295066115,0.024133192657146373,11.323155233144922
2025-11-30,0.025833171461107814,Bull,-0.0013,13.916552455531834,6.640675179982529,0.024833171461107813,11.60434508853035
2025-12-31,0.023719739045624653,Bull,-0.0036,14.246649448191798,6.616768749334592,0.022719739045624653,11.867992780737135
2026-01-31,0.03346712195791281,Bear,0.0103,14.723443802766065,6.684921467452738,0.032467121957912806,12.253312349744958
2026-02-28,-0.03989048324321306,Bear,-0.011699999999999999,14.136118514469436,6.606707886283541,-0.04089048324321306,11.752268486433856
